Tono	PROPN	Tono
strangely	ADV	strangely
at	ADP	at
one	PRON	one
's	PART	's
senses	NOUN	sense
and	CCONJ	and
curiosities	NOUN	curiosity
.	PUNCT	.
One	PRON	one
bought	VERB	buy
pamphlets	NOUN	pamphlet
and	CCONJ	and
papers	NOUN	paper
full	ADJ	full
of	ADP	of
strange	ADJ	strange
and	CCONJ	and
daring	ADJ	daring
ideas	NOUN	idea
transcending	VERB	transcend
one	PRON	one
's	PART	's
boldest	ADJ	bold
;	PUNCT	;
in	ADP	in
the	DET	the
parks	NOUN	park
one	PRON	one
heard	VERB	hear
men	NOUN	man
discussing	VERB	discuss
the	DET	the
very	ADJ	very
existence	NOUN	existence
of	ADP	of
God	PROPN	God
,	PUNCT	,
denying	VERB	deny
the	DET	the
rights	NOUN	right
of	ADP	of
property	NOUN	property
,	PUNCT	,
debating	VERB	debate
a	DET	a
hundred	NUM	hundred
things	NOUN	thing
that	PRON	that
one	PRON	one
dared	VERB	dare
not	PART	not
think	VERB	think
about	ADP	about
in	ADP	in
Wimblehurst	PROPN	Wimblehurst
.	PUNCT	.
And	CCONJ	and
after	ADP	after
the	DET	the
ordinary	ADJ	ordinary
overcast	ADJ	overcast
day	NOUN	day
,	PUNCT	,
after	ADP	after
dull	ADJ	dull
mornings	NOUN	morning
,	PUNCT	,
came	VERB	come
twilight	NOUN	twilight
,	PUNCT	,
and	CCONJ	and
London	PROPN	London
lit	VERB	light
up	ADP	up
and	CCONJ	and
became	VERB	become
a	DET	a
thing	NOUN	thing
of	ADP	of
white	ADJ	white
and	CCONJ	and
yellow	ADJ	yellow
and	CCONJ	and
red	ADJ	red
jewels	NOUN	jewel
of	ADP	of
light	ADJ	light
and	CCONJ	and
wonderful	ADJ	wonderful
floods	NOUN	flood
of	ADP	of
golden	ADJ	golden
illumination	NOUN	illumination
and	CCONJ	and
stupendous	ADJ	stupendous
and	CCONJ	and
unfathomable	ADJ	unfathomable
shadows	NOUN	shadow
—	PUNCT	—
and	CCONJ	and
there	PRON	there
were	AUX	be
no	DET	no
longer	ADV	long
any	DET	any
mean	ADJ	mean
or	CCONJ	or
shabby	ADJ	shabby
people	NOUN	people
—	PUNCT	—
but	CCONJ	but
a	DET	a
great	ADJ	great
mysterious	ADJ	mysterious
movement	NOUN	movement
of	ADP	of
unaccountable	ADJ	unaccountable
beings	NOUN	being
....	PUNCT	....
Always	ADV	always
I	PRON	I
was	AUX	be
coming	VERB	come
on	ADP	on
the	DET	the
queerest	ADJ	queer
new	ADJ	new
aspects	NOUN	aspect
.	PUNCT	.
Late	ADV	late
one	NUM	one
Saturday	PROPN	Saturday
night	NOUN	night
I	PRON	I
found	VERB	find
myself	PRON	myself
one	NUM	one
of	ADP	of
a	DET	a
great	ADJ	great
slow	ADV	slow
-	PUNCT	-
moving	VERB	move
crowd	NOUN	crowd
between	ADP	between
the	DET	the
blazing	VERB	blaze
shops	NOUN	shop
and	CCONJ	and
the	DET	the
flaring	VERB	flare
barrows	NOUN	barrow
in	ADP	in
the	DET	the
Harrow	PROPN	Harrow
Road	PROPN	Road
;	PUNCT	;
I	PRON	I
got	VERB	get
into	ADP	into
conversation	NOUN	conversation
with	ADP	with
two	NUM	two
bold	ADJ	bold
-	PUNCT	-
eyed	ADJ	eyed
girls	NOUN	girl
,	PUNCT	,
bought	VERB	buy
them	PRON	they
boxes	NOUN	box
of	ADP	of
chocolate	NOUN	chocolate
,	PUNCT	,
made	VERB	make
the	DET	the
acquaintance	NOUN	acquaintance
of	ADP	of
father	NOUN	father
and	CCONJ	and
mother	NOUN	mother
and	CCONJ	and
various	ADJ	various
younger	ADJ	young
brothers	NOUN	brother
and	CCONJ	and
sisters	NOUN	sister
,	PUNCT	,
sat	VERB	sit
in	ADP	in
a	DET	a
public	ADJ	public
-	PUNCT	-
house	NOUN	house
hilariously	ADV	hilariously
with	ADP	with
them	PRON	they
all	DET	all
,	PUNCT	,
standing	VERB	stand
and	CCONJ	and
being	AUX	be
stood	VERB	stand
drinks	NOUN	drink
,	PUNCT	,
and	CCONJ	and
left	VERB	leave
them	PRON	they
in	ADP	in
the	DET	the
small	ADJ	small
hours	NOUN	hour
at	ADP	at
the	DET	the
door	NOUN	door
of	ADP	of
“	PUNCT	""""
home	NOUN	home
,	PUNCT	,
”	PUNCT	""""
never	ADV	never
to	PART	to
see	VERB	see
them	PRON	they
again	ADV	again
.	PUNCT	.
And	CCONJ	and
once	ADV	once
I	PRON	I
was	AUX	be
accosted	VERB	accost
on	ADP	on
the	DET	the
outskirts	NOUN	outskirt
of	ADP	of
a	DET	a
Salvation	PROPN	Salvation
Army	PROPN	Army
meeting	NOUN	meeting
in	ADP	in
one	NUM	one
of	ADP	of
the	DET	the
parks	NOUN	park
by	ADP	by
a	DET	a
silk	NOUN	silk
-	PUNCT	-
hatted	ADJ	hatted
young	ADJ	young
man	NOUN	man
of	ADP	of
eager	ADJ	eager
and	CCONJ	and
serious	ADJ	serious
discourse	NOUN	discourse
,	PUNCT	,
who	PRON	who
argued	VERB	argue
against	ADP	against
scepticism	NOUN	scepticism
with	ADP	with
me	PRON	I
,	PUNCT	,
invited	VERB	invite
me	PRON	I
home	ADV	home
to	ADP	to
tea	NOUN	tea
into	ADP	into
a	DET	a
clean	ADJ	clean
and	CCONJ	and
cheerful	ADJ	cheerful
family	NOUN	family
of	ADP	of
brothers	NOUN	brother
and	CCONJ	and
sisters	NOUN	sister
and	CCONJ	and
friends	NOUN	friend
,	PUNCT	,
and	CCONJ	and
there	ADV	there
I	PRON	I
spent	VERB	spend
the	DET	the
evening	NOUN	evening
singing	VERB	singe
hymns	NOUN	hymn
to	ADP	to
the	DET	the
harmonium	NOUN	harmonium
(	PUNCT	(
which	DET	which
reminded	VERB	remind
me	PRON	I
of	ADP	of
half	ADV	half
-	PUNCT	-
forgotten	VERB	forget
Chatham	PROPN	Chatham
)	PUNCT	)
,	PUNCT	,
and	CCONJ	and
wishing	VERB	wish
all	DET	all
the	DET	the
sisters	NOUN	sister
were	AUX	be
not	PART	not
so	ADV	so
obviously	ADV	obviously
engaged	VERB	engage
....	PUNCT	....
Then	ADV	then
on	ADP	on
the	DET	the
remote	ADJ	remote
hill	NOUN	hill
of	ADP	of
this	DET	this
boundless	ADJ	boundless
city	NOUN	city
-	PUNCT	-
world	NOUN	world
I	PRON	I
found	VERB	find
Ewart	PROPN	Ewart
.	PUNCT	.
III	NUM	iii
How	SCONJ	how
well	ADV	well
I	PRON	I
remember	VERB	remember
the	DET	the
first	ADJ	first
morning	NOUN	morning
,	PUNCT	,
a	DET	a
bright	ADJ	bright
Sunday	PROPN	Sunday
morning	NOUN	morning
in	ADP	in
early	ADJ	early
October	PROPN	October
,	PUNCT	,
when	SCONJ	when
I	PRON	I
raided	VERB	raid
in	ADP	in
upon	SCONJ	upon
Ewart	PROPN	Ewart
!	PUNCT	!
I	PRON	I
found	VERB	find
my	PRON	my
old	ADJ	old
schoolfellow	NOUN	schoolfellow
in	X	in
bed	VERB	bed
in	ADP	in
a	DET	a
room	NOUN	room
over	ADP	over
an	DET	an
oil	NOUN	oil
-	PUNCT	-
shop	NOUN	shop
in	ADP	in
a	DET	a
back	ADJ	back
street	NOUN	street
at	ADP	at
the	DET	the
foot	NOUN	foot
of	ADP	of
Highgate	PROPN	Highgate
Hill	PROPN	Hill
.	PUNCT	.
His	PRON	his
landlady	NOUN	landlady
,	PUNCT	,
a	DET	a
pleasant	ADJ	pleasant
,	PUNCT	,
dirty	ADJ	dirty
young	ADJ	young
woman	NOUN	woman
with	ADP	with
soft	ADJ	soft
-	PUNCT	-
brown	ADJ	brown
eyes	NOUN	eye
,	PUNCT	,
brought	VERB	bring
down	ADP	down
his	PRON	his
message	NOUN	message
for	ADP	for
me	PRON	I
to	PART	to
come	VERB	come
up	ADV	up
;	PUNCT	;
and	CCONJ	and
up	ADV	up
I	PRON	I
went	VERB	go
.	PUNCT	.
The	DET	the
room	NOUN	room
presented	VERB	present
itself	PRON	itself
as	ADP	as
ample	ADJ	ample
and	CCONJ	and
interesting	ADJ	interesting
in	ADP	in
detail	NOUN	detail
and	CCONJ	and
shabby	ADJ	shabby
with	ADP	with
a	DET	a
quite	ADV	quite
commendable	ADJ	commendable
shabbiness	NOUN	shabbiness
.	PUNCT	.
I	PRON	I
had	AUX	have
an	DET	an
impression	NOUN	impression
of	ADP	of
brown	ADJ	brown
walls	NOUN	wall
—	PUNCT	—
they	PRON	they
were	AUX	be
papered	VERB	paper
with	ADP	with
brown	ADJ	brown
paper	NOUN	paper
—	PUNCT	—
of	ADP	of
a	DET	a
long	ADJ	long
shelf	NOUN	shelf
along	ADP	along
one	NUM	one
side	NOUN	side
of	ADP	of
the	DET	the
room	NOUN	room
,	PUNCT	,
with	ADP	with
dusty	ADJ	dusty
plaster	NOUN	plaster
casts	NOUN	cast
and	CCONJ	and
a	DET	a
small	ADJ	small
cheap	ADJ	cheap
lay	ADJ	lay
figure	NOUN	figure
of	ADP	of
a	DET	a
horse	NOUN	horse
,	PUNCT	,
of	ADP	of
a	DET	a
table	NOUN	table
and	CCONJ	and
something	PRON	something
of	ADP	of
grey	ADJ	grey
wax	NOUN	wax
partially	ADV	partially
covered	VERB	cover
with	ADP	with
a	DET	a
cloth	NOUN	cloth
,	PUNCT	,
and	CCONJ	and
of	ADP	of
scattered	VERB	scatter
drawings	NOUN	drawing
.	PUNCT	.
There	PRON	there
was	AUX	be
a	DET	a
gas	NOUN	gas
stove	NOUN	stove
in	ADP	in
one	NUM	one
corner	NOUN	corner
,	PUNCT	,
and	CCONJ	and
some	DET	some
enameled	ADJ	enameled
ware	NOUN	ware
that	PRON	that
had	AUX	have
been	AUX	be
used	VERB	use
for	ADP	for
overnight	ADJ	overnight
cooking	NOUN	cooking
.	PUNCT	.
The	DET	the
oilcloth	NOUN	oilcloth
on	ADP	on
the	DET	the
floor	NOUN	floor
was	AUX	be
streaked	VERB	streak
with	ADP	with
a	DET	a
peculiar	ADJ	peculiar
white	ADJ	white
dust	NOUN	dust
.	PUNCT	.
Ewart	PRON	ewart
himself	PRON	himself
was	AUX	be
not	PART	not
in	ADP	in
the	DET	the
first	ADJ	first
instance	NOUN	instance
visible	ADJ	visible
,	PUNCT	,
but	CCONJ	but
only	ADV	only
a	DET	a
fourfold	ADJ	fourfold
canvas	NOUN	canvas
screen	NOUN	screen
at	ADP	at
the	DET	the
end	NOUN	end
of	ADP	of
the	DET	the
room	NOUN	room
from	ADP	from
which	DET	which
shouts	NOUN	shout
proceeded	VERB	proceed
of	ADP	of
“	PUNCT	""""
Come	VERB	come
on	ADP	on
!	PUNCT	!
”	PUNCT	""""
then	ADV	then
his	PRON	his
wiry	ADJ	wiry
black	ADJ	black
hair	NOUN	hair
,	PUNCT	,
very	ADV	very
much	ADV	much
rumpled	ADJ	rumpled
,	PUNCT	,
and	CCONJ	and
a	DET	a
staring	VERB	stare
red	ADJ	red
-	PUNCT	-
brown	ADJ	brown
eye	NOUN	eye
and	CCONJ	and
his	PRON	his
stump	NOUN	stump
of	ADP	of
a	DET	a
nose	NOUN	nose
came	VERB	come
round	ADP	round
the	DET	the
edge	NOUN	edge
of	ADP	of
this	DET	this
at	ADP	at
a	DET	a
height	NOUN	height
of	ADP	of
about	ADP	about
three	NUM	three
feet	NOUN	foot
from	ADP	from
the	DET	the
ground	NOUN	ground
“	PUNCT	""""
It	PRON	it
's	AUX	be
old	ADJ	old
Ponderevo	PROPN	Ponderevo
!	PUNCT	!
”	PUNCT	""""
he	PRON	he
said	VERB	say
,	PUNCT	,
“	PUNCT	""""
the	DET	the
Early	ADJ	early
bird	NOUN	bird
!	PUNCT	!
And	CCONJ	and
he	PRON	he
's	AUX	be
caught	VERB	catch
the	DET	the
worm	NOUN	worm
!	PUNCT	!
By	ADP	by
Jove	PROPN	Jove
,	PUNCT	,
but	CCONJ	but
it	PRON	it
's	AUX	be
cold	ADJ	cold
this	DET	this
morning	NOUN	morning
!	PUNCT	!
Come	VERB	come
round	ADV	round
here	ADV	here
and	CCONJ	and
sit	VERB	sit
on	ADP	on
the	DET	the
bed	NOUN	bed
!	PUNCT	!
”	PUNCT	""""
I	PRON	I
walked	VERB	walk
round	ADV	round
,	PUNCT	,
wrung	VERB	wring
his	PRON	his
hand	NOUN	hand
,	PUNCT	,
and	CCONJ	and
we	PRON	we
surveyed	VERB	survey
one	NUM	one
another	DET	another
.	PUNCT	.
He	PRON	he
was	AUX	be
lying	VERB	lie
on	ADP	on
a	DET	a
small	ADJ	small
wooden	ADJ	wooden
fold	VERB	fold
-	PUNCT	-
up	ADP	up
bed	NOUN	bed
,	PUNCT	,
the	DET	the
scanty	ADJ	scanty
covering	NOUN	covering
of	ADP	of
which	DET	which
was	AUX	be
supplemented	VERB	supplement
by	ADP	by
an	DET	an
overcoat	NOUN	overcoat
and	CCONJ	and
an	DET	an
elderly	ADJ	elderly
but	CCONJ	but
still	ADV	still
cheerful	ADJ	cheerful
pair	NOUN	pair
of	ADP	of
check	NOUN	check
trousers	NOUN	trouser
,	PUNCT	,
and	CCONJ	and
he	PRON	he
was	AUX	be
wearing	VERB	wear
pajamas	NOUN	pajama
of	ADP	of
a	DET	a
virulent	ADJ	virulent
pink	NOUN	pink
and	CCONJ	and
green	NOUN	green
.	PUNCT	.
His	PRON	his
neck	NOUN	neck
seemed	VERB	seem
longer	ADJ	long
and	CCONJ	and
more	ADV	more
stringy	ADJ	stringy
than	ADP	than
it	PRON	it
had	AUX	have
been	AUX	be
even	ADV	even
in	ADP	in
our	PRON	our
schooldays	NOUN	schoolday
,	PUNCT	,
and	CCONJ	and
his	PRON	his
upper	ADJ	upper
lip	NOUN	lip
had	AUX	have
a	DET	a
wiry	ADJ	wiry
black	ADJ	black
moustache	NOUN	moustache
.	PUNCT	.
The	DET	the
rest	NOUN	rest
of	ADP	of
his	PRON	his
ruddy	ADJ	ruddy
,	PUNCT	,
knobby	ADJ	knobby
countenance	NOUN	countenance
,	PUNCT	,
his	PRON	his
erratic	ADJ	erratic
hair	NOUN	hair
and	CCONJ	and
his	PRON	his
general	ADJ	general
hairy	ADJ	hairy
leanness	NOUN	leanness
had	AUX	have
not	PART	not
even	ADV	even
—	PUNCT	—
to	ADP	to
my	PRON	my
perceptions	NOUN	perception
grown	VERB	grow
.	PUNCT	.
“	PUNCT	""""
By	ADP	by
Jove	PROPN	Jove
!	PUNCT	!
”	PUNCT	""""
he	PRON	he
said	VERB	say
,	PUNCT	,
“	PUNCT	""""
you	PRON	you
've	AUX	have
got	VERB	get
quite	ADV	quite
decent	ADJ	decent
-	PUNCT	-
looking	VERB	look
,	PUNCT	,
Ponderevo	PROPN	Ponderevo
!	PUNCT	!
What	PRON	what
do	AUX	do
you	PRON	you
think	VERB	think
of	ADP	of
me	PRON	I
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
You	PRON	you
're	AUX	be
all	ADV	all
right	ADJ	right
.	PUNCT	.
What	PRON	what
are	AUX	be
you	PRON	you
doing	VERB	do
here	ADV	here
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
Art	PROPN	Art
,	PUNCT	,
my	PRON	my
son	NOUN	son
—	PUNCT	—
sculpture	NOUN	sculpture
!	PUNCT	!
And	CCONJ	and
incidentally	ADV	incidentally
—	PUNCT	—
”	PUNCT	""""
He	PRON	he
hesitated	VERB	hesitate
.	PUNCT	.
“	PUNCT	""""
I	PRON	I
ply	VERB	ply
a	DET	a
trade	NOUN	trade
.	PUNCT	.
Will	AUX	will
you	PRON	you
hand	VERB	hand
me	PRON	I
that	DET	that
pipe	NOUN	pipe
and	CCONJ	and
those	DET	those
smoking	NOUN	smoking
things	NOUN	thing
?	PUNCT	?
So	ADV	so
!	PUNCT	!
You	PRON	you
ca	AUX	can
n't	PART	not
make	VERB	make
coffee	NOUN	coffee
,	PUNCT	,
eh	INTJ	eh
?	PUNCT	?
Well	ADV	well
,	PUNCT	,
try	VERB	try
your	PRON	your
hand	NOUN	hand
.	PUNCT	.
Cast	VERB	cast
down	ADP	down
this	DET	this
screen	NOUN	screen
—	PUNCT	—
no	INTJ	no
—	PUNCT	—
fold	VERB	fold
it	PRON	it
up	ADP	up
and	CCONJ	and
so	ADV	so
we	PRON	we
'll	AUX	will
go	VERB	go
into	ADP	into
the	DET	the
other	ADJ	other
room	NOUN	room
.	PUNCT	.
I	PRON	I
'll	AUX	will
keep	VERB	keep
in	ADP	in
bed	VERB	bed
all	DET	all
the	DET	the
same	ADJ	same
.	PUNCT	.
The	DET	the
fire	NOUN	fire
's	AUX	be
a	DET	a
gas	NOUN	gas
stove	NOUN	stove
.	PUNCT	.
Yes	INTJ	yes
.	PUNCT	.
Do	AUX	do
n't	PART	not
make	VERB	make
it	PRON	it
bang	VERB	bang
.	PUNCT	.
too	ADV	too
loud	ADJ	loud
as	ADP	as
you	PRON	you
light	VERB	light
it	PRON	it
—	PUNCT	—
I	PRON	I
ca	AUX	can
n't	PART	not
stand	VERB	stand
it	PRON	it
this	DET	this
morning	NOUN	morning
.	PUNCT	.
You	PRON	you
wo	AUX	will
n't	PART	not
smoke	VERB	smoke
...	PUNCT	...
Well	INTJ	well
,	PUNCT	,
it	PRON	it
does	AUX	do
me	PRON	I
good	ADJ	good
to	PART	to
see	VERB	see
you	PRON	you
again	ADV	again
,	PUNCT	,
Ponderevo	PROPN	Ponderevo
.	PUNCT	.
Tell	VERB	tell
me	PRON	I
what	PRON	what
you	PRON	you
're	AUX	be
doing	VERB	do
,	PUNCT	,
and	CCONJ	and
how	SCONJ	how
you	PRON	you
're	AUX	be
getting	VERB	get
on	ADP	on
.	PUNCT	.
”	PUNCT	""""
He	PRON	he
directed	VERB	direct
me	PRON	I
in	ADP	in
the	DET	the
service	NOUN	service
of	ADP	of
his	PRON	his
simple	ADJ	simple
hospitality	NOUN	hospitality
,	PUNCT	,
and	CCONJ	and
presently	ADV	presently
I	PRON	I
came	VERB	come
back	ADV	back
to	ADP	to
his	PRON	his
bed	NOUN	bed
and	CCONJ	and
sat	VERB	sit
down	ADP	down
and	CCONJ	and
smiled	VERB	smile
at	ADP	at
him	PRON	he
there	ADV	there
,	PUNCT	,
smoking	VERB	smoke
comfortably	ADV	comfortably
,	PUNCT	,
with	ADP	with
his	PRON	his
hands	NOUN	hand
under	ADP	under
his	PRON	his
head	NOUN	head
,	PUNCT	,
surveying	VERB	survey
me	PRON	I
.	PUNCT	.
“	PUNCT	""""
How	SCONJ	how
's	AUX	be
Life	NOUN	life
's	PART	's
Morning	NOUN	morning
,	PUNCT	,
Ponderevo	PROPN	Ponderevo
?	PUNCT	?
By	ADP	by
Jove	PROPN	Jove
,	PUNCT	,
it	PRON	it
must	AUX	must
be	AUX	be
nearly	ADV	nearly
six	NUM	six
years	NOUN	year
since	SCONJ	since
we	PRON	we
met	VERB	meet
!	PUNCT	!
They	PRON	they
've	AUX	have
got	VERB	get
moustaches	NOUN	moustache
.	PUNCT	.
We	PRON	we
've	AUX	have
fleshed	VERB	flesh
ourselves	PRON	ourselves
a	DET	a
bit	NOUN	bit
,	PUNCT	,
eh	INTJ	eh
?	PUNCT	?
And	CCONJ	and
you	PRON	you
?	PUNCT	?
”	PUNCT	""""
I	PRON	I
felt	VERB	feel
a	DET	a
pipe	NOUN	pipe
was	AUX	be
becoming	VERB	become
after	ADV	after
all	ADV	all
,	PUNCT	,
and	CCONJ	and
that	DET	that
lit	VERB	light
,	PUNCT	,
I	PRON	I
gave	VERB	give
him	PRON	he
a	DET	a
favourable	ADJ	favourable
sketch	NOUN	sketch
of	ADP	of
my	PRON	my
career	NOUN	career
.	PUNCT	.
“	PUNCT	""""
Science	NOUN	science
!	PUNCT	!
And	CCONJ	and
you	PRON	you
've	AUX	have
worked	VERB	work
like	ADP	like
that	DET	that
!	PUNCT	!
While	SCONJ	while
I	PRON	I
've	AUX	have
been	AUX	be
potting	VERB	pot
round	ADV	round
doing	VERB	do
odd	ADJ	odd
jobs	NOUN	job
for	ADP	for
stone	NOUN	stone
-	PUNCT	-
masons	NOUN	mason
and	CCONJ	and
people	NOUN	people
,	PUNCT	,
and	CCONJ	and
trying	VERB	try
to	PART	to
get	VERB	get
to	ADP	to
sculpture	NOUN	sculpture
.	PUNCT	.
I	PRON	I
've	AUX	have
a	DET	a
sort	NOUN	sort
of	ADP	of
feeling	NOUN	feeling
that	SCONJ	that
the	DET	the
chisel	NOUN	chisel
—	PUNCT	—
I	PRON	I
began	VERB	begin
with	ADP	with
painting	VERB	paint
,	PUNCT	,
Ponderevo	PROPN	Ponderevo
,	PUNCT	,
and	CCONJ	and
found	VERB	find
I	PRON	I
was	AUX	be
colour	NOUN	colour
-	PUNCT	-
blind	ADJ	blind
,	PUNCT	,
colour	NOUN	colour
-	PUNCT	-
blind	ADJ	blind
enough	ADV	enough
to	PART	to
stop	VERB	stop
it	PRON	it
.	PUNCT	.
I	PRON	I
've	AUX	have
drawn	VERB	draw
about	ADV	about
and	CCONJ	and
thought	VERB	think
about	ADP	about
—	PUNCT	—
thought	VERB	think
more	ADV	more
particularly	ADV	particularly
.	PUNCT	.
I	PRON	I
give	VERB	give
myself	PRON	myself
three	NUM	three
days	NOUN	day
a	DET	a
week	NOUN	week
as	ADP	as
an	DET	an
art	NOUN	art
student	NOUN	student
,	PUNCT	,
and	CCONJ	and
the	DET	the
rest	NOUN	rest
of	ADP	of
the	DET	the
time	NOUN	time
I	PRON	I
've	AUX	have
a	DET	a
sort	NOUN	sort
of	ADP	of
trade	NOUN	trade
that	PRON	that
keeps	VERB	keep
me	PRON	I
.	PUNCT	.
And	CCONJ	and
we	PRON	we
're	AUX	be
still	ADV	still
in	ADP	in
the	DET	the
beginning	NOUN	beginning
of	ADP	of
things	NOUN	thing
,	PUNCT	,
young	ADJ	young
men	NOUN	man
starting	VERB	start
.	PUNCT	.
Do	AUX	do
you	PRON	you
remember	VERB	remember
the	DET	the
old	ADJ	old
times	NOUN	time
at	ADP	at
Goudhurst	PROPN	Goudhurst
,	PUNCT	,
our	PRON	our
doll's	NOUN	doll's
-	PUNCT	-
house	NOUN	house
island	NOUN	island
,	PUNCT	,
the	DET	the
Retreat	PROPN	Retreat
of	ADP	of
the	DET	the
Ten	NUM	ten
Thousand	NUM	thousand
Young	PROPN	Young
Holmes	PROPN	Holmes
and	CCONJ	and
the	DET	the
rabbits	NOUN	rabbit
,	PUNCT	,
eh	INTJ	eh
?	PUNCT	?
It	PRON	it
's	AUX	be
surprising	ADJ	surprising
,	PUNCT	,
if	SCONJ	if
you	PRON	you
think	VERB	think
of	ADP	of
it	PRON	it
,	PUNCT	,
to	PART	to
find	VERB	find
we	PRON	we
are	AUX	be
still	ADV	still
young	ADJ	young
.	PUNCT	.
And	CCONJ	and
we	PRON	we
used	VERB	use
to	PART	to
talk	VERB	talk
of	ADP	of
what	PRON	what
we	PRON	we
would	AUX	would
be	AUX	be
,	PUNCT	,
and	CCONJ	and
we	PRON	we
used	VERB	use
to	PART	to
talk	VERB	talk
of	ADP	of
love	NOUN	love
!	PUNCT	!
I	PRON	I
suppose	VERB	suppose
you	PRON	you
know	VERB	know
all	DET	all
about	ADP	about
that	DET	that
now	ADV	now
,	PUNCT	,
Ponderevo	PROPN	Ponderevo
?	PUNCT	?
”	PUNCT	""""
I	PRON	I
finished	VERB	finish
and	CCONJ	and
hesitated	VERB	hesitate
on	ADP	on
some	DET	some
vague	ADJ	vague
foolish	ADJ	foolish
lie	NOUN	lie
,	PUNCT	,
“	PUNCT	""""
No	INTJ	no
,	PUNCT	,
”	PUNCT	""""
I	PRON	I
said	VERB	say
,	PUNCT	,
a	DET	a
little	ADJ	little
ashamed	ADJ	ashamed
of	ADP	of
the	DET	the
truth	NOUN	truth
.	PUNCT	.
“	PUNCT	""""
Do	AUX	do
you	PRON	you
?	PUNCT	?
I	PRON	I
've	AUX	have
been	AUX	be
too	ADV	too
busy	ADJ	busy
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
'm	AUX	be
just	ADV	just
beginning	VERB	begin
—	PUNCT	—
just	ADV	just
as	ADP	as
we	PRON	we
were	AUX	be
then	ADV	then
.	PUNCT	.
Things	NOUN	thing
happen	VERB	happen
.	PUNCT	.
”	PUNCT	""""
He	PRON	he
sucked	VERB	suck
at	ADP	at
his	PRON	his
pipe	NOUN	pipe
for	ADP	for
a	DET	a
space	NOUN	space
and	CCONJ	and
stared	VERB	stare
at	ADP	at
the	DET	the
plaster	NOUN	plaster
cast	NOUN	cast
of	ADP	of
a	DET	a
flayed	VERB	flay
hand	NOUN	hand
that	PRON	that
hung	VERB	hang
on	ADP	on
the	DET	the
wall	NOUN	wall
.	PUNCT	.
“	PUNCT	""""
The	DET	the
fact	NOUN	fact
is	AUX	be
,	PUNCT	,
Ponderevo	PROPN	Ponderevo
,	PUNCT	,
I	PRON	I
'm	AUX	be
beginning	VERB	begin
to	PART	to
find	VERB	find
life	NOUN	life
a	DET	a
most	ADJ	most
extraordinary	ADJ	extraordinary
queer	NOUN	queer
set	NOUN	set
-	PUNCT	-
out	NOUN	out
;	PUNCT	;
the	DET	the
things	NOUN	thing
that	PRON	that
pull	VERB	pull
one	NUM	one
,	PUNCT	,
the	DET	the
things	NOUN	thing
that	PRON	that
do	AUX	do
n't	PART	not
.	PUNCT	.
The	DET	the
wants	NOUN	want
—	PUNCT	—
This	DET	this
business	NOUN	business
of	ADP	of
sex	NOUN	sex
.	PUNCT	.
It	PRON	it
's	AUX	be
a	DET	a
net	NOUN	net
.	PUNCT	.
No	DET	no
end	NOUN	end
to	ADP	to
it	PRON	it
,	PUNCT	,
no	DET	no
way	NOUN	way
out	NOUN	out
of	ADP	of
it	PRON	it
,	PUNCT	,
no	DET	no
sense	NOUN	sense
in	ADP	in
it	PRON	it
.	PUNCT	.
There	PRON	there
are	AUX	be
times	NOUN	time
when	SCONJ	when
women	NOUN	woman
take	VERB	take
possession	NOUN	possession
of	ADP	of
me	PRON	I
,	PUNCT	,
when	SCONJ	when
my	PRON	my
mind	NOUN	mind
is	AUX	be
like	ADP	like
a	DET	a
painted	VERB	paint
ceiling	NOUN	ceiling
at	ADP	at
Hampton	PROPN	Hampton
Court	PROPN	Court
with	ADP	with
the	DET	the
pride	NOUN	pride
of	ADP	of
the	DET	the
flesh	NOUN	flesh
sprawling	VERB	sprawl
all	ADV	all
over	ADP	over
it	PRON	it
.	PUNCT	.
_	PUNCT	_
Why	SCONJ	why
>	X	>
?	PUNCT	?
_	PUNCT	_
...	PUNCT	...
And	CCONJ	and
then	ADV	then
again	ADV	again
sometimes	ADV	sometimes
when	SCONJ	when
I	PRON	I
have	AUX	have
to	PART	to
encounter	VERB	encounter
a	DET	a
woman	NOUN	woman
,	PUNCT	,
I	PRON	I
am	AUX	be
overwhelmed	VERB	overwhelm
by	ADP	by
a	DET	a
terror	NOUN	terror
of	ADP	of
tantalising	ADJ	tantalising
boredom	NOUN	boredom
—	PUNCT	—
I	PRON	I
fly	VERB	fly
,	PUNCT	,
I	PRON	I
hide	VERB	hide
,	PUNCT	,
I	PRON	I
do	AUX	do
anything	PRON	anything
.	PUNCT	.
You	PRON	you
've	AUX	have
got	VERB	get
your	PRON	your
scientific	ADJ	scientific
explanations	NOUN	explanation
perhaps	ADV	perhaps
;	PUNCT	;
what	PRON	what
's	AUX	be
Nature	PROPN	Nature
and	CCONJ	and
the	DET	the
universe	NOUN	universe
up	ADV	up
to	ADP	to
in	ADP	in
that	DET	that
matter	NOUN	matter
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
It	PRON	it
's	AUX	be
her	PRON	her
way	NOUN	way
,	PUNCT	,
I	PRON	I
gather	VERB	gather
,	PUNCT	,
of	ADP	of
securing	VERB	secure
the	DET	the
